County,Registered Voters,# In Person On 10/03/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
HASKELL,"3,442",0,0,0.0%,7,7,0.2%,Click Here
WHEELER,"3,408",0,0,0.0%,32,32,0.94%,Click Here
KIMBLE,"3,318",0,0,0.0%,5,5,0.15%,Click Here
MASON,"3,278",0,0,0.0%,26,26,0.79%,Click Here
BAILEY,"3,172",0,0,0.0%,1,1,0.03%,Click Here
HANSFORD,"3,002",0,0,0.0%,0,0,0.0%,Click Here
DALLAM,"2,873",0,0,0.0%,2,2,0.07%,Click Here
HARTLEY,"2,846",0,0,0.0%,10,10,0.35%,Click Here
FISHER,"2,705",0,0,0.0%,15,15,0.55%,Click Here
REAL,"2,698",0,0,0.0%,2,2,0.07%,Click Here
CRANE,"2,684",0,0,0.0%,0,0,0.0%,Click Here
GARZA,"2,651",0,6,0.23%,0,6,0.23%,Click Here
SHACKELFORD,"2,439",0,0,0.0%,19,19,0.78%,Click Here
BAYLOR,"2,430",0,0,0.0%,3,3,0.12%,Click Here
DONLEY,"2,414",0,0,0.0%,1,1,0.04%,Click Here
HARDEMAN,"2,388",0,0,0.0%,0,0,0.0%,Click Here
COKE,"2,375",0,0,0.0%,0,0,0.0%,Click Here
SUTTON,"2,348",0,0,0.0%,2,2,0.09%,Click Here
HEMPHILL,"2,347",0,0,0.0%,11,11,0.47%,Click Here
CROCKETT,"2,289",0,0,0.0%,6,6,0.26%,Click Here
KNOX,"2,230",0,0,0.0%,0,0,0.0%,Click Here
HUDSPETH,"2,212",0,0,0.0%,1,1,0.05%,Click Here
KINNEY,"2,175",0,0,0.0%,0,0,0.0%,Click Here
UPTON,"2,114",0,0,0.0%,3,3,0.14%,Click Here
COLLINGSWORTH,"1,887",0,0,0.0%,5,5,0.26%,Click Here
HALL,"1,872",0,0,0.0%,0,0,0.0%,Click Here
LIPSCOMB,"1,818",0,0,0.0%,25,25,1.38%,Click Here
REAGAN,"1,803",0,0,0.0%,0,0,0.0%,Click Here
CONCHO,"1,795",0,0,0.0%,9,9,0.5%,Click Here
SCHLEICHER,"1,746",0,0,0.0%,0,0,0.0%,Click Here
CULBERSON,"1,678",0,0,0.0%,0,0,0.0%,Click Here
COCHRAN,"1,676",0,0,0.0%,15,15,0.89%,Click Here
JEFF DAVIS,"1,562",0,0,0.0%,0,0,0.0%,Click Here
MENARD,"1,510",0,0,0.0%,0,0,0.0%,Click Here
EDWARDS,"1,478",0,0,0.0%,0,0,0.0%,Click Here
SHERMAN,"1,448",0,0,0.0%,2,2,0.14%,Click Here
DICKENS,"1,433",0,0,0.0%,11,11,0.77%,Click Here
ARMSTRONG,"1,418",0,0,0.0%,0,0,0.0%,Click Here
OLDHAM,"1,341",0,0,0.0%,0,0,0.0%,Click Here
IRION,"1,230",0,0,0.0%,0,0,0.0%,Click Here
THROCKMORTON,"1,210",0,0,0.0%,0,0,0.0%,Click Here
BRISCOE,"1,031",0,0,0.0%,0,0,0.0%,Click Here
COTTLE,993,0,0,0.0%,0,0,0.0%,Click Here
STONEWALL,941,0,0,0.0%,0,0,0.0%,Click Here
STERLING,864,0,0,0.0%,0,0,0.0%,Click Here
MOTLEY,849,0,0,0.0%,1,1,0.12%,Click Here
GLASSCOCK,840,0,0,0.0%,3,3,0.36%,Click Here
FOARD,801,0,0,0.0%,0,0,0.0%,Click Here
ROBERTS,721,0,0,0.0%,0,0,0.0%,Click Here
MCMULLEN,629,0,0,0.0%,0,0,0.0%,Click Here
TERRELL,626,0,0,0.0%,0,0,0.0%,Click Here
KENT,602,0,0,0.0%,0,0,0.0%,Click Here
BORDEN,478,0,0,0.0%,0,0,0.0%,Click Here
KENEDY,271,0,0,0.0%,0,0,0.0%,Click Here
KING,163,0,0,0.0%,0,0,0.0%,Click Here
LOVING,126,0,0,0.0%,0,0,0.0%,Click Here
TOTAL,"18,623,931",0,22,0.0%,"13,137","13,159",0.07%,
