day,requested,sent,returned,party,method
2020-09-21 00:00:00,140309,120343,25557,REP,MAIL
2020-09-21 00:00:00,0,0,0,REP,EARLY VOTING
2020-09-22 00:00:00,143543,123613,28313,REP,MAIL
2020-09-22 00:00:00,0,0,0,REP,EARLY VOTING
2020-09-23 00:00:00,147212,127037,32736,REP,MAIL
2020-09-23 00:00:00,0,0,0,REP,EARLY VOTING
2020-09-24 00:00:00,150361,132394,36926,REP,MAIL
2020-09-24 00:00:00,0,0,0,REP,EARLY VOTING
2020-09-25 00:00:00,152677,135311,40215,REP,MAIL
2020-09-25 00:00:00,0,0,0,REP,EARLY VOTING
2020-09-26 00:00:00,153732,135558,41515,REP,MAIL
2020-09-26 00:00:00,0,0,0,REP,EARLY VOTING
2020-09-27 00:00:00,154400,136066,41646,REP,MAIL
2020-09-27 00:00:00,0,0,0,REP,EARLY VOTING
2020-09-28 00:00:00,157837,143528,46583,REP,MAIL
2020-09-28 00:00:00,0,0,0,REP,EARLY VOTING
2020-09-29 00:00:00,160646,145880,47967,REP,MAIL
2020-09-29 00:00:00,0,0,0,REP,EARLY VOTING
2020-09-30 00:00:00,164167,148931,53052,REP,MAIL
2020-09-30 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-01 00:00:00,166673,153098,56070,REP,MAIL
2020-10-01 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-02 00:00:00,168977,155618,60044,REP,MAIL
2020-10-02 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-03 00:00:00,169971,155883,61681,REP,MAIL
2020-10-03 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-04 00:00:00,170915,156009,61886,REP,MAIL
2020-10-04 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-05 00:00:00,174556,161722,67146,REP,MAIL
2020-10-05 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-06 00:00:00,177091,164496,69437,REP,MAIL
2020-10-06 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-07 00:00:00,179522,169442,74426,REP,MAIL
2020-10-07 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-08 00:00:00,182524,172103,78614,REP,MAIL
2020-10-08 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-09 00:00:00,185084,174690,83220,REP,MAIL
2020-10-09 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-10 00:00:00,186080,175224,84952,REP,MAIL
2020-10-10 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-11 00:00:00,186707,175551,85575,REP,MAIL
2020-10-11 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-12 00:00:00,188407,180284,88007,REP,MAIL
2020-10-12 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-13 00:00:00,190188,183889,91923,REP,MAIL
2020-10-13 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-14 00:00:00,191664,185243,97563,REP,MAIL
2020-10-14 00:00:00,0,0,0,REP,EARLY VOTING
2020-10-15 00:00:00,193554,186640,102962,REP,MAIL
2020-10-15 00:00:00,95227,95227,95227,REP,EARLY VOTING
2020-10-16 00:00:00,195032,189087,109531,REP,MAIL
2020-10-16 00:00:00,197241,197241,197241,REP,EARLY VOTING
2020-10-17 00:00:00,195824,189588,112881,REP,MAIL
2020-10-17 00:00:00,248720,248720,248720,REP,EARLY VOTING
2020-10-18 00:00:00,196429,189902,113753,REP,MAIL
2020-10-18 00:00:00,270579,270579,270579,REP,EARLY VOTING
2020-10-19 00:00:00,197994,192971,121372,REP,MAIL
2020-10-19 00:00:00,373389,373389,373389,REP,EARLY VOTING
2020-10-20 00:00:00,199259,194830,125778,REP,MAIL
2020-10-20 00:00:00,473834,473834,473834,REP,EARLY VOTING
2020-10-21 00:00:00,200486,196936,134933,REP,MAIL
2020-10-21 00:00:00,566415,566415,566415,REP,EARLY VOTING
2020-10-22 00:00:00,201458,199049,141882,REP,MAIL
2020-10-22 00:00:00,650555,650555,650555,REP,EARLY VOTING
2020-10-23 00:00:00,202500,200466,148515,REP,MAIL
2020-10-23 00:00:00,738622,738622,738622,REP,EARLY VOTING
2020-10-24 00:00:00,202876,201131,151613,REP,MAIL
2020-10-24 00:00:00,783903,783903,783903,REP,EARLY VOTING
2020-10-25 00:00:00,203124,201308,152268,REP,MAIL
2020-10-25 00:00:00,804697,804697,804697,REP,EARLY VOTING
2020-10-26 00:00:00,204029,202859,159321,REP,MAIL
2020-10-26 00:00:00,889647,889647,889647,REP,EARLY VOTING
2020-10-27 00:00:00,204953,203879,163351,REP,MAIL
2020-10-27 00:00:00,969652,969652,969652,REP,EARLY VOTING
2020-10-28 00:00:00,205072,204780,171726,REP,MAIL
2020-10-28 00:00:00,1046424,1046424,1046424,REP,EARLY VOTING
2020-10-29 00:00:00,205168,204981,178985,REP,MAIL
2020-10-29 00:00:00,1116990,1116990,1116990,REP,EARLY VOTING
2020-10-30 00:00:00,205277,205197,184745,REP,MAIL
2020-10-30 00:00:00,1204552,1204552,1204552,REP,EARLY VOTING
2020-10-31 00:00:00,205324,205274,189131,REP,MAIL
2020-10-31 00:00:00,1258727,1258727,1258727,REP,EARLY VOTING
2020-11-01 00:00:00,205354,205316,190677,REP,MAIL
2020-11-01 00:00:00,1258727,1258727,1258727,REP,EARLY VOTING
2020-11-02 00:00:00,205520,205520,196106,REP,MAIL
2020-11-02 00:00:00,1258727,1258727,1258727,REP,EARLY VOTING
2020-11-03 00:00:00,205520,205520,201793,REP,MAIL
2020-11-03 00:00:00,1258727,1258727,1258727,REP,EARLY VOTING
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
